Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = Ukraine,Continent = EU,HDI = Low,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = Switzerland,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Switzerland,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
